V161003,V161086,V161087,V161088,V161089,V161090,V161091,V161092,V161093,V161094,V161095,V161096,V161109,V161126,V161134A,V161178,V161181,V161184,V161187,V161189,V161198,V161201,V161295,V161361X,V162096,V162097,V162098,V162099,V162100,V162101,V162105
5,85,40,50,60,60,60,100,85,30,15,15,0,99,-1,7,5,5,1,3,3,4,-1,5,60,50,70,80,60,50,70
2,50,60,60,70,60,-89,50,60,-89,70,50,0,99,47,6,7,7,3,4,4,2,40,14,50,50,85,70,40,50,50
4,15,50,30,-89,30,-89,15,15,30,50,15,2,99,48,3,7,5,1,5,99,5,40,20,50,50,50,50,50,50,50
2,0,60,100,-89,-89,50,0,0,-89,50,50,3,99,-1,4,5,3,3,4,4,1,-1,5,100,30,100,100,40,85,100
1,40,50,-89,-89,-88,85,60,30,-89,40,60,0,6,-1,4,5,4,3,5,4,6,-1,13,60,50,40,60,50,85,50
4,0,60,50,-88,40,50,85,15,40,50,60,1,5,30,5,4,2,3,2,4,99,45,10,0,15,70,50,60,60,85
3,0,85,0,-89,-89,50,0,0,-89,0,100,2,99,40,5,7,2,1,2,3,1,-1,11,50,0,85,100,0,70,50
2,40,60,50,40,40,60,50,50,50,40,70,2,6,65,4,5,4,3,5,4,5,40,17,50,30,70,85,40,70,40
3,100,0,0,0,0,0,100,70,0,100,0,0,99,-1,3,3,4,1,4,3,99,55,15,70,50,60,85,60,50,40
1,100,0,15,30,100,30,100,100,30,100,50,0,4,-1,4,5,2,3,4,2,1,-1,8,100,100,85,100,60,100,100
2,85,0,0,15,100,1,100,60,-89,85,15,1,1,55,5,4,2,1,5,2,1,40,15,100,100,85,100,30,40,85
4,70,40,-89,-89,-89,15,60,50,-89,70,30,4,5,55,5,6,4,1,6,5,3,-1,12,60,70,70,85,70,100,50
2,100,0,-89,-89,-89,-89,80,0,-89,80,80,2,7,-8,4,5,1,1,7,2,1,40,4,50,50,50,40,50,50,50
1,100,0,-89,-89,100,0,100,100,-89,100,0,4,7,-1,7,7,1,3,7,4,1,-1,1,100,70,100,100,85,100,100
2,15,100,-88,60,30,70,40,30,-89,15,30,4,5,45,4,4,6,3,6,6,5,55,24,40,40,60,70,60,60,50
3,0,30,50,-89,40,40,50,50,-89,50,50,2,99,-1,4,5,4,3,3,4,6,40,12,50,60,60,50,50,50,50
1,0,0,50,85,0,0,85,0,0,0,0,2,2,53,4,1,2,1,4,4,4,40,11,100,85,100,85,0,15,50
2,30,70,40,50,40,60,40,30,50,30,70,0,5,-1,5,4,4,3,6,7,4,40,15,40,50,70,50,60,60,50
4,70,0,60,-89,-89,-89,85,85,-89,70,30,3,2,-1,5,2,1,1,2,1,2,30,28,85,70,85,100,70,60,85
3,40,40,50,-89,-89,-89,50,60,-89,15,60,1,5,-1,99,5,2,3,3,7,99,15,4,30,15,50,70,60,70,50
2,80,15,50,50,100,5,90,70,-89,50,50,0,4,-1,4,4,4,1,4,4,2,50,23,50,70,85,100,85,70,85
2,15,85,30,-89,15,40,0,15,-89,40,85,1,6,41,3,4,4,3,6,3,4,-1,25,50,0,15,60,85,85,100
4,20,20,-89,-89,40,85,15,30,-89,50,100,2,4,-1,99,6,6,1,5,7,3,-1,1,60,70,60,70,50,70,70
2,85,0,50,50,70,50,100,70,-89,70,50,0,3,55,99,4,4,1,4,4,3,15,17,85,60,70,100,70,60,100
3,50,70,50,30,40,30,70,50,30,-89,-89,1,99,-1,99,99,99,3,99,99,99,-1,-9,50,50,70,50,50,50,50
4,15,85,-88,-88,50,50,40,60,-89,40,60,1,99,40,3,5,1,3,6,6,4,47,15,50,60,40,15,60,50,50
4,0,85,-89,-88,-89,100,0,0,-89,0,60,1,7,-4,3,7,4,2,7,4,6,10,-9,0,0,30,100,100,100,100
1,70,0,15,15,85,0,85,60,-89,70,15,1,2,60,5,5,3,3,4,3,2,-1,11,85,85,60,100,30,30,50
2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,2,-1,5,3,4,1,4,4,1,-1,1,70,50,70,50,50,50,50
4,0,100,-89,-89,-89,60,0,0,-89,50,50,0,4,45,4,5,4,3,3,4,3,45,11,50,50,60,85,50,60,50
2,80,20,-89,-89,-89,-89,30,10,-89,40,70,1,7,-1,3,3,1,3,1,99,2,-1,19,-6,-6,-6,-6,-6,-6,-6
1,60,0,-89,-89,60,-89,70,85,-89,60,40,5,2,-1,6,5,3,1,2,3,2,35,22,85,60,60,85,60,30,60
4,70,30,-89,-89,60,50,70,60,-89,50,40,0,4,-1,4,4,4,1,6,3,2,-1,13,60,60,50,85,60,60,50
2,0,0,100,50,-89,50,60,85,85,30,30,3,3,55,1,4,2,1,7,5,3,-1,23,-6,-6,-6,-6,-6,-6,-6
2,0,85,50,-89,0,100,0,0,-89,15,60,0,7,-4,4,6,6,3,4,4,5,-1,28,0,0,50,100,60,85,70
4,20,10,90,60,50,50,40,35,50,25,35,0,6,55,2,2,7,3,6,4,4,65,19,40,50,50,50,40,60,50
4,15,70,60,0,-89,-89,60,30,-89,50,50,4,99,-1,4,5,5,3,6,6,3,45,24,-6,-6,-6,-6,-6,-6,-6
4,40,60,-89,-88,-89,-89,40,0,-89,-88,-88,1,4,-1,2,4,7,3,7,7,4,15,1,60,30,60,60,70,85,70
3,40,70,-89,50,60,70,40,30,50,15,60,0,6,-1,3,5,5,3,6,6,4,-1,13,50,30,30,70,60,70,60
2,70,30,-88,-89,70,15,85,60,-89,85,30,4,3,60,5,3,4,1,2,3,2,-1,28,60,85,50,60,30,40,60
3,60,70,50,-89,40,75,60,60,-89,60,70,1,4,-1,2,6,6,3,5,4,2,21,18,40,40,40,85,40,60,40
4,50,50,-89,50,-89,-89,50,70,-89,40,60,1,99,-1,4,4,99,3,2,4,1,43,-9,-6,-6,-6,-6,-6,-6,-6
4,70,40,50,50,50,50,85,70,-89,60,30,4,5,52,5,4,3,1,5,5,3,40,25,60,70,50,70,70,40,50
4,30,70,-89,-89,-89,-89,30,60,-89,60,40,0,99,-8,5,4,4,3,7,5,5,-1,1,60,60,70,50,0,50,40
1,0,30,85,50,60,70,40,15,50,30,60,1,6,-1,3,5,6,3,5,5,3,36,27,40,40,85,70,40,60,50
4,15,70,-89,50,-89,60,40,100,-89,60,60,5,99,45,5,4,1,3,1,99,3,35,6,100,50,100,85,70,40,50
4,100,0,50,50,50,50,95,90,50,90,15,4,99,-1,4,99,1,1,1,1,1,37,9,50,40,50,-9,50,90,50
1,8,10,10,13,10,8,5,5,8,3,10,1,5,2,3,7,3,2,3,5,99,5,15,1,80,100,100,100,80,10
1,100,0,40,-89,100,60,100,70,-89,70,0,1,99,-1,3,5,1,1,5,2,6,70,23,70,60,70,50,70,50,40
2,30,60,-89,-89,30,60,30,15,-89,40,50,1,5,-1,3,5,4,3,6,6,4,15,6,50,30,50,70,60,60,40
1,50,0,30,40,60,30,70,70,-89,40,15,3,4,-1,5,1,1,1,3,2,1,55,21,60,85,60,85,50,85,50
2,50,30,-88,-88,-88,-88,50,60,-89,50,50,1,99,60,99,4,4,1,3,4,99,-1,9,50,50,60,85,40,50,40
1,100,9,-89,100,0,-89,0,100,-89,0,100,2,99,-8,99,99,7,3,99,99,99,65,13,998,998,100,20,100,10,4
4,0,100,-89,-89,0,0,50,0,-89,-89,-89,0,3,-1,99,99,99,3,99,99,99,-1,6,100,60,100,100,70,50,0
4,50,70,99,99,99,99,50,60,99,50,50,2,99,-1,99,99,5,3,6,4,99,40,16,-6,-6,-6,-6,-6,-6,-6
4,15,15,-89,-89,50,50,60,50,-89,50,50,0,6,45,99,3,6,1,99,4,99,45,11,50,50,40,50,60,50,50
1,0,85,15,0,15,70,0,0,0,0,60,2,5,-1,3,6,7,2,7,7,4,37,14,40,0,0,100,60,85,50
3,0,40,50,-89,0,-89,60,0,-89,0,0,0,5,45,5,7,4,3,4,7,3,40,13,0,15,50,100,60,60,50
2,0,0,-89,-89,-88,85,0,0,-89,0,30,1,7,-1,1,7,7,3,7,5,5,-1,12,85,0,40,40,15,85,30
3,0,15,-89,-89,-89,60,0,50,-89,30,40,4,4,-1,99,99,7,1,99,4,99,-1,23,70,70,50,70,70,50,70
4,40,50,-88,-88,30,-88,50,60,-89,60,60,3,4,-1,3,2,6,1,5,4,3,40,22,50,50,50,70,40,50,30
1,100,0,50,50,100,0,100,100,50,85,15,3,4,60,4,4,4,1,4,4,4,40,14,95,85,70,100,40,50,60
2,15,70,50,-88,50,70,15,15,-88,30,60,2,6,-1,3,6,6,3,6,6,6,-1,14,50,15,30,85,50,60,50
1,15,50,-89,15,30,50,15,15,-89,15,40,2,7,-1,3,6,6,3,7,3,5,45,17,15,15,50,50,70,85,50
4,0,50,-89,-89,-89,50,0,0,-89,30,30,0,99,-1,3,4,99,3,5,7,5,65,22,50,50,50,85,50,50,50
2,85,0,60,50,-89,99,100,100,-89,70,30,3,3,98,5,2,3,1,4,99,99,40,13,70,50,50,85,999,30,40
4,40,40,50,50,50,50,60,30,-88,-88,-88,2,4,-1,6,3,4,1,3,3,2,25,1,50,60,70,60,70,60,40
3,60,0,-89,50,60,0,85,60,-89,85,0,2,99,52,6,5,1,1,1,5,1,50,15,100,50,50,100,30,40,15
4,0,40,50,-89,-89,60,15,15,-89,50,60,2,99,-1,4,99,3,3,99,3,4,-1,17,60,40,85,70,60,60,60
4,80,50,40,50,50,50,85,75,50,90,90,0,1,60,6,7,7,3,6,6,6,-1,17,60,85,85,30,85,80,15
1,0,30,0,15,60,70,60,50,-89,30,15,0,5,70,2,2,7,1,6,6,4,60,18,40,40,50,60,50,60,70
1,60,0,50,50,50,50,60,85,30,50,50,0,3,60,4,4,4,1,5,4,4,40,20,70,85,60,60,60,60,40
1,30,60,30,40,30,85,40,15,-89,50,85,2,6,-1,3,6,7,3,7,6,6,60,27,60,70,50,60,50,85,70
5,40,40,-89,-89,-89,-89,40,50,-89,50,50,2,99,-1,99,99,5,1,4,3,4,-1,12,50,50,50,50,50,70,50
3,60,70,30,-89,60,40,85,85,30,60,85,3,5,-1,5,5,7,3,7,4,5,70,13,70,50,85,85,85,70,85
2,15,50,-89,50,50,50,15,0,50,30,100,1,5,-8,99,99,99,1,7,7,7,-1,12,-6,-6,-6,-6,-6,-6,-6
4,30,0,50,-89,-89,-88,60,60,-88,-88,-88,1,2,55,5,99,3,1,99,4,99,45,22,-6,-6,-6,-6,-6,-6,-6
2,60,50,50,40,40,30,60,60,-89,50,50,1,1,-1,7,1,1,1,2,-8,1,50,28,100,50,60,50,50,30,50
1,85,0,30,0,70,50,85,70,-89,60,15,0,4,80,5,6,2,1,3,3,2,-1,5,60,60,30,85,60,60,60
1,85,0,-89,-88,85,30,100,60,-89,85,0,0,1,-1,6,1,3,1,4,5,1,-1,9,100,100,100,100,15,15,100
2,70,0,-88,-88,70,30,85,60,-89,100,0,4,2,60,6,5,4,1,4,2,1,40,7,998,70,30,50,15,50,40
1,0,100,50,50,70,85,0,0,50,30,100,2,6,-1,5,99,6,1,99,4,99,50,18,50,50,50,50,70,85,50
4,85,0,-89,-89,-89,-89,-88,50,-89,85,0,1,99,-1,99,99,99,1,99,99,99,-1,1,999,85,998,70,999,70,85
1,0,50,-89,-89,-89,-89,0,0,-89,0,50,0,4,-8,3,5,4,2,99,1,4,40,1,999,0,30,60,80,85,70
1,15,70,50,50,30,60,30,30,-89,30,70,2,6,48,3,4,5,3,6,6,6,-1,20,60,30,40,50,60,85,70
2,15,15,-88,-89,15,70,15,15,-89,15,60,5,6,45,1,5,7,3,6,99,7,40,18,40,50,30,85,50,85,50
4,100,0,60,60,30,40,50,70,50,85,50,7,3,-8,6,5,7,1,1,1,7,50,17,40,60,80,90,80,50,30
1,85,0,50,50,85,0,85,85,50,100,0,2,2,55,6,3,4,1,4,4,1,-1,12,70,85,100,85,60,30,70
1,0,85,-89,-89,-89,85,0,0,-89,0,100,2,99,-1,2,6,7,2,99,2,6,20,17,85,50,50,100,50,50,50
1,40,60,40,50,50,50,30,60,-89,40,60,4,5,52,3,4,5,3,4,5,4,50,17,40,40,50,50,50,60,50
4,40,100,50,-89,-89,-89,0,60,-89,60,75,3,99,42,5,5,4,-9,5,6,99,-1,3,-9,50,70,100,999,50,50
4,0,70,-89,-89,-89,-89,0,50,-89,50,50,1,99,40,2,6,3,3,6,7,99,44,11,50,50,50,50,50,50,50
1,60,0,50,50,60,40,85,70,50,40,30,2,3,-1,2,3,3,1,5,3,2,36,28,60,50,50,70,50,50,60
4,0,70,60,-89,50,-89,0,15,-89,70,50,2,4,-1,99,6,2,1,4,5,99,45,26,50,30,50,50,50,50,30
3,60,70,-88,-88,-88,-88,60,60,-89,50,50,2,5,-1,4,3,3,3,4,6,4,-1,7,60,60,50,60,50,60,60
1,85,10,0,50,30,50,90,75,-89,70,30,0,2,-1,6,2,2,1,2,3,1,4,20,70,85,70,85,40,30,50
3,15,70,-89,-89,-89,-89,0,15,-89,50,70,3,5,-1,2,5,6,3,5,5,99,40,12,40,15,40,70,40,100,70
1,100,0,-89,-89,-89,-89,100,100,-89,100,0,1,7,70,7,7,7,1,1,1,99,-1,1,0,85,100,100,85,0,0
4,70,0,-89,60,-89,20,80,60,-89,60,40,3,3,-1,4,3,2,1,3,3,2,41,19,85,70,85,60,15,60,60
4,50,0,-89,-88,-89,-89,50,50,-89,0,50,0,-8,100,99,99,99,1,99,1,99,-1,5,999,3,5,1,5,1,2
2,85,15,50,50,85,30,85,70,70,70,15,1,4,-1,4,3,4,1,5,3,2,40,-9,70,70,30,-9,40,30,-9
1,70,0,-89,-89,60,15,85,70,-89,40,0,0,1,-1,4,3,3,1,4,3,2,45,21,85,85,70,100,50,15,50
1,0,100,30,30,0,85,0,0,15,0,70,0,6,-1,3,6,7,3,5,5,4,-1,15,0,15,30,100,50,60,50
1,0,40,70,50,0,85,15,30,50,15,60,1,6,-1,2,5,5,3,6,6,6,-1,18,0,15,0,85,60,85,60
2,100,40,70,-89,-89,70,100,85,-89,85,50,3,99,85,6,99,6,1,6,99,6,20,5,50,50,60,70,60,70,50
4,70,0,-89,-89,50,-89,85,85,-89,50,50,5,99,85,6,99,2,3,2,7,99,-1,14,70,70,70,85,70,70,60
3,60,30,-89,50,50,50,70,50,-89,40,40,2,99,-1,7,7,4,1,99,7,99,-1,14,50,50,50,50,50,50,50
4,50,50,-89,-89,-89,-89,70,50,50,50,50,4,99,40,99,99,4,3,4,1,4,-1,11,50,60,50,50,50,40,50
1,40,15,70,40,40,70,30,60,40,15,0,1,6,-1,4,3,6,3,6,6,2,-1,1,50,40,40,50,50,50,50
4,70,0,-89,-89,-89,-89,100,85,-89,70,0,0,4,85,4,99,1,1,1,1,1,-1,1,85,70,100,85,70,70,70
3,70,0,60,-89,50,30,85,70,-89,60,15,3,4,-1,4,4,2,1,5,99,3,45,19,50,60,60,70,30,40,50
1,85,0,50,50,85,60,85,100,-89,85,60,1,4,52,4,4,4,1,5,5,2,-1,22,60,70,85,85,40,40,40
4,85,30,50,-89,-89,50,85,50,-89,70,40,0,99,60,4,4,6,1,2,6,1,2,17,50,50,60,70,85,50,50
3,60,30,50,60,-89,60,70,70,-89,60,60,2,2,-1,4,4,3,3,4,3,2,-1,21,70,70,70,70,15,70,70
2,70,85,50,-89,-89,100,85,100,-89,70,70,2,6,48,4,5,6,1,3,6,5,60,28,15,15,60,85,70,100,70
1,85,0,30,-89,60,30,85,70,-89,85,15,2,6,-1,7,5,1,3,3,7,1,-1,-9,85,40,70,85,60,15,0
4,50,50,-89,-89,-89,-89,50,50,-89,50,50,0,4,49,99,5,99,3,99,99,99,-1,1,50,50,50,70,50,50,40
1,0,90,40,30,15,90,15,0,40,0,0,0,5,30,6,7,4,3,6,7,5,-1,1,60,15,30,100,70,60,70
3,15,60,60,60,40,50,30,15,-89,70,70,1,99,40,6,4,5,3,4,4,1,40,8,-6,-6,-6,-6,-6,-6,-6
2,85,0,-89,-89,-89,-89,70,85,-89,70,30,0,99,50,4,4,5,1,4,4,99,1,-9,50,50,50,50,50,50,50
3,30,0,50,50,50,0,40,60,-89,40,15,1,2,55,6,3,1,1,1,1,1,40,25,50,50,50,50,40,50,50
2,0,60,50,50,15,85,0,0,-89,15,70,0,6,-1,4,7,6,3,5,6,6,-1,11,70,0,30,60,70,100,50
4,40,40,-89,-89,40,40,40,40,-89,40,40,2,5,-1,4,99,6,1,5,5,99,-1,1,60,30,60,15,60,85,60
4,40,40,-89,-89,-89,-88,65,65,-89,-88,-88,11,99,-8,4,99,6,1,99,4,1,25,1,50,50,30,85,30,50,50
1,85,0,40,-89,40,15,85,85,-89,60,30,1,2,-1,5,3,2,1,3,3,2,45,21,50,70,60,70,40,50,50
3,15,30,50,-89,-89,85,30,50,-89,0,70,1,5,-1,2,4,5,3,7,5,4,40,18,40,40,15,50,30,50,50
1,0,100,-89,-89,0,70,0,0,-89,30,60,0,6,-1,2,7,7,3,6,6,6,30,14,15,0,15,50,70,60,50
3,85,50,60,-89,-89,50,85,100,40,85,70,3,5,60,99,99,99,3,99,3,99,40,13,999,999,999,85,999,999,70
4,60,0,85,50,50,50,85,0,100,70,0,0,4,-1,4,4,7,1,7,99,1,50,24,85,60,40,85,40,70,50
4,50,50,100,50,-89,-89,50,50,-89,50,50,0,4,50,7,7,4,3,1,4,4,-1,2,999,50,100,50,50,50,50
4,0,60,-89,-89,-89,-89,70,70,-89,60,60,2,99,30,6,6,3,1,1,7,7,40,9,40,50,85,100,85,100,100
1,85,15,50,60,85,15,100,85,50,85,0,0,2,52,4,99,4,1,4,3,1,-1,2,70,85,60,60,30,30,40
1,100,0,50,60,85,0,100,85,-89,100,30,0,2,46,5,4,1,1,3,4,1,40,3,100,100,100,100,70,15,100
4,70,15,50,50,-88,-88,85,85,-88,70,40,3,4,-1,6,99,5,1,2,2,3,30,1,100,70,60,100,85,60,70
4,60,15,-89,50,50,40,85,60,-89,60,50,3,4,-1,5,4,2,-8,5,99,3,40,17,60,50,60,50,50,50,50
2,50,0,-89,50,50,-89,100,85,-89,50,50,0,2,-1,6,6,3,1,3,99,3,60,15,85,85,85,85,50,50,85
2,0,70,60,50,15,50,15,15,-88,30,60,1,5,-1,2,3,6,3,6,6,2,45,23,40,15,40,50,40,70,70
2,85,0,50,50,50,0,85,70,-89,85,15,0,2,55,5,4,3,1,3,4,1,-1,23,70,70,60,50,50,40,30
2,50,60,60,-88,60,70,60,0,-88,50,50,0,4,-8,4,3,4,1,4,-8,2,-1,-9,50,50,70,85,40,70,65
1,30,85,-89,-89,-89,-89,50,70,-89,50,70,1,4,50,99,5,6,1,7,1,1,-1,17,50,60,999,999,999,60,50
4,70,0,-89,-89,-88,-88,95,90,-89,60,40,0,99,-1,3,4,4,1,7,4,4,-1,7,70,50,40,50,40,50,50
3,0,30,-89,-89,-89,-89,0,40,-89,0,0,3,99,-8,99,5,3,2,3,5,99,80,22,0,0,60,60,30,0,0
4,85,20,-89,-89,-89,-89,85,85,-89,85,15,3,2,-1,5,4,2,1,3,2,99,50,17,85,100,85,50,70,15,60
4,15,60,-89,-89,-89,-89,30,50,-89,60,60,0,6,40,99,6,4,3,4,6,2,40,17,-6,-6,-6,-6,-6,-6,-6
1,40,60,-88,50,50,50,50,40,50,40,40,1,99,-1,4,6,4,3,3,4,5,-1,11,50,40,30,85,40,70,50
4,60,0,-89,-89,-89,-89,85,60,-89,60,40,4,6,-1,4,5,4,1,4,1,1,35,16,60,50,70,70,50,60,50
1,85,0,60,40,85,30,100,60,70,60,15,3,2,-1,5,2,2,1,2,2,3,45,27,60,60,60,50,50,50,50
3,40,40,50,50,50,-89,60,30,-89,50,50,2,99,80,5,4,6,1,5,5,3,40,11,85,40,70,50,50,60,50
3,60,0,50,40,30,60,60,50,-89,60,15,1,2,-1,7,1,2,1,2,2,1,50,19,60,60,70,60,0,15,15
1,100,0,-89,-89,-89,-89,70,50,-89,70,15,0,2,-1,4,4,1,3,4,6,4,-1,8,50,70,30,70,30,40,0
3,60,15,50,50,70,50,85,85,50,60,40,1,99,-1,4,6,4,3,7,4,2,40,25,50,70,70,60,40,50,50
2,60,15,50,-89,50,60,40,50,-89,40,40,1,5,48,3,5,4,1,5,3,99,50,28,-6,-6,-6,-6,-6,-6,-6
1,0,85,50,50,15,85,15,30,50,15,60,3,5,47,2,6,7,3,7,7,6,20,21,0,30,30,85,85,85,85
2,40,40,40,50,50,70,60,70,-89,40,40,1,4,50,2,5,4,3,5,4,3,40,26,85,60,70,100,85,60,60
4,0,65,99,99,50,99,10,40,99,40,50,3,4,40,4,5,5,3,5,7,99,50,13,50,70,70,85,30,60,100
4,80,0,-89,55,50,50,85,85,-89,85,10,1,2,-1,6,3,3,1,4,3,2,40,22,75,85,50,75,25,25,50
2,60,60,-89,-89,-88,-89,50,70,-89,70,50,3,99,-1,3,7,99,1,4,4,99,-1,2,999,60,50,100,100,100,50
1,100,0,-89,-89,70,0,100,100,-89,100,0,3,99,75,7,7,7,1,99,5,7,-1,8,50,60,60,85,50,50,50
2,60,30,70,70,40,0,70,40,-89,0,15,1,3,55,5,1,2,1,3,2,2,40,21,70,70,60,85,40,40,50
2,0,85,0,15,85,85,0,0,-89,15,85,1,6,-1,1,6,5,1,5,6,5,-1,19,40,15,40,70,70,85,70
2,85,30,40,50,40,40,85,85,50,70,50,4,4,-1,4,6,3,1,3,5,3,40,21,15,50,50,50,40,40,30
4,30,60,60,30,50,60,40,40,50,30,60,3,5,-1,4,3,99,3,6,6,5,14,28,30,40,70,70,60,60,70
2,0,40,50,-89,50,50,30,30,-89,15,60,5,5,52,2,5,7,1,7,5,6,40,15,30,50,15,50,40,60,50
3,85,40,60,-89,-89,-89,85,70,-89,70,85,0,5,-1,5,4,3,1,99,3,5,2,1,85,70,50,100,40,85,85
1,0,60,30,15,50,50,15,0,50,15,15,3,7,40,2,6,6,3,7,4,4,40,18,0,50,0,70,60,100,70
1,85,0,50,40,70,30,85,85,-89,70,15,0,2,-1,6,1,3,1,3,1,2,60,24,70,85,60,70,70,30,40
1,50,90,-89,-89,-89,-89,75,-89,-89,50,50,0,99,-8,99,4,4,3,4,4,4,-1,1,100,50,50,100,50,100,100
4,0,0,-89,-89,-89,-89,30,50,-89,15,15,3,6,-1,7,7,1,2,1,1,1,-1,3,50,50,100,50,50,50,50
3,0,85,-89,-89,-89,70,0,0,-89,0,85,4,6,56,4,7,4,1,6,6,2,40,26,50,15,40,85,50,60,50
4,0,70,-89,15,-89,50,0,0,-89,40,50,0,99,15,2,99,7,2,7,7,4,40,7,15,50,70,60,50,50,50
4,0,85,-89,50,-89,70,60,15,-89,50,50,3,99,20,99,4,99,1,2,99,99,-1,2,50,50,50,70,50,50,50
3,85,0,50,-89,50,50,100,85,-89,100,0,3,99,-1,7,6,4,1,4,2,3,40,11,70,50,85,85,50,60,40
1,70,0,30,50,50,30,100,60,-89,85,30,2,1,52,5,4,4,1,4,4,2,-1,9,100,70,70,70,60,30,50
4,0,0,-89,-89,-89,50,15,0,-89,0,0,0,99,-1,4,5,4,3,99,4,99,-1,2,50,50,50,85,50,50,50
2,15,70,50,50,50,50,40,60,-89,60,85,0,6,45,4,7,7,1,2,4,5,-1,9,50,40,40,100,70,85,40
1,85,0,40,40,30,50,100,85,-89,60,50,1,3,52,5,3,4,1,3,3,1,40,15,85,70,60,85,15,50,50
4,50,50,99,99,99,99,60,60,99,50,50,0,4,50,3,6,99,1,5,4,5,-1,-9,15,30,30,85,60,60,60
3,15,85,-89,-89,-89,-89,15,15,-89,-88,-88,3,99,20,99,99,99,1,99,99,99,-1,7,998,998,998,998,85,998,40
4,50,50,-89,-89,-89,-89,50,50,-89,50,50,8,-9,-8,99,99,99,1,99,99,99,-1,1,50,50,50,50,50,50,50
1,85,0,-89,-89,0,-89,100,70,-89,85,0,-9,1,-1,7,1,1,1,1,1,1,-1,1,100,70,100,100,15,30,50
2,0,70,50,40,0,100,0,0,-89,50,50,1,99,60,1,7,7,3,7,7,7,60,12,-6,-6,-6,-6,-6,-6,-6
4,0,60,-89,50,-89,-89,0,100,50,50,50,1,4,-1,3,4,5,3,2,7,7,-1,-9,40,50,40,70,40,50,40
3,30,15,40,60,-89,-89,0,50,-89,85,15,1,2,-1,4,7,4,1,2,1,2,-1,3,50,60,70,85,60,50,50
4,60,50,50,50,-89,-89,50,50,40,50,50,5,4,70,3,5,5,3,5,6,4,40,1,50,50,50,50,60,60,50
1,60,50,0,0,40,0,80,50,40,90,80,3,4,50,1,1,1,3,7,1,1,14,1,70,40,85,85,85,85,40
1,0,85,40,0,0,100,0,30,-89,0,85,5,7,-1,1,7,5,3,6,6,6,20,20,0,0,40,100,100,100,100
3,0,100,-88,-88,0,100,0,0,-88,0,85,6,7,-8,1,6,6,3,7,7,99,-1,7,0,0,50,-9,50,100,-9
4,85,40,-89,-89,-89,-89,100,70,-89,60,-88,0,99,-1,99,-8,1,1,3,-8,99,-8,1,998,70,85,100,998,998,85
4,15,85,50,-89,-89,60,15,60,-89,70,40,1,4,30,6,5,3,1,4,4,99,-1,5,70,70,85,100,40,60,100
4,50,50,-89,-89,-89,-89,50,0,-89,-88,-88,0,99,-8,99,5,4,3,4,5,99,-1,-9,60,50,60,70,60,50,70
4,70,40,-89,-89,-89,60,40,50,-89,70,50,3,99,45,6,99,4,1,3,5,99,40,9,50,50,50,85,60,998,50
4,70,0,-89,-89,70,15,50,70,60,60,30,0,-8,-1,7,7,4,1,4,-8,1,-1,-9,85,60,50,100,70,100,50
3,0,15,-89,-89,-89,-89,50,0,-89,50,85,2,99,-1,4,7,1,1,4,4,1,40,5,60,30,0,100,30,70,30
2,0,70,50,-89,0,85,15,15,50,0,85,0,4,-1,2,4,6,3,4,6,6,-1,15,15,15,15,85,50,85,70
3,30,60,-89,50,50,-88,30,30,-88,30,60,4,6,-1,1,5,7,3,6,6,3,8,24,70,50,70,70,50,70,70
2,0,60,85,100,-89,-89,85,50,-89,60,60,0,5,-1,6,3,2,3,2,6,2,-1,11,-6,-6,-6,-6,-6,-6,-6
3,70,15,-89,-88,-89,50,85,60,-89,40,40,1,99,-1,7,99,99,1,1,3,99,40,7,-6,-6,-6,-6,-6,-6,-6
1,20,100,-89,-89,-89,-89,50,20,-89,50,80,3,99,55,5,4,2,1,3,99,2,-1,1,70,70,70,85,85,85,85
2,30,50,60,60,50,0,70,40,50,60,15,3,3,53,6,2,2,1,3,2,1,6,27,85,70,85,85,0,30,15
2,60,15,50,50,50,15,70,60,-89,60,40,0,3,-1,5,2,4,1,3,3,1,30,9,60,70,50,70,30,60,40
2,100,0,50,50,85,50,100,85,50,85,40,1,2,-1,4,3,3,1,4,4,3,-1,20,85,85,60,100,30,70,70
2,0,85,15,15,30,85,15,0,-89,15,40,1,6,-1,5,6,4,3,4,6,2,-1,14,60,15,60,85,50,70,60
1,0,70,0,0,0,100,0,0,-89,0,70,1,6,-4,1,6,5,3,6,6,6,-1,28,30,40,50,60,70,60,85
3,70,70,-89,-89,60,-89,70,85,-89,-88,-88,5,5,-1,99,99,1,2,6,99,1,30,2,50,50,70,70,50,60,70
1,70,0,50,50,85,15,70,70,50,60,30,3,3,-1,5,4,4,1,4,4,2,60,24,70,70,70,70,30,50,60
5,40,70,50,50,-89,-89,40,100,-89,50,50,5,99,-1,5,6,4,3,4,7,3,48,19,70,50,60,50,60,50,50
1,0,85,15,15,15,85,0,30,-89,0,100,1,6,-1,1,5,7,2,7,4,5,-1,20,50,30,30,60,70,100,50
1,85,50,40,60,60,70,100,85,50,60,0,1,6,-1,5,5,2,1,6,4,3,55,17,50,50,40,50,0,0,30
2,85,0,30,-88,85,50,100,85,-89,60,15,1,99,-1,5,2,4,1,2,2,2,40,23,85,85,85,85,60,0,85
4,85,70,-89,70,-89,50,100,100,50,100,50,0,99,-1,4,99,4,1,4,4,4,-1,1,70,60,100,100,70,50,70
