V161003,V161086,V161087,V161088,V161089,V161090,V161091,V161092,V161093,V161094,V161095,V161096,V161109,V161126,V161134A,V161178,V161181,V161184,V161187,V161189,V161198,V161201,V161295,V161361X,V162096,V162097,V162098,V162099,V162100,V162101,V162105
2,0,70,50,50,30,70,0,0,60,30,85,2,4,70,4,5,2,3,4,7,3,60,17,40,40,85,85,30,40,50
4,60,40,-89,-89,-89,-89,85,100,-89,70,40,4,2,-1,6,-9,2,1,2,3,1,40,24,50,70,70,60,15,30,30
4,70,40,-89,99,-89,-89,70,70,-89,85,60,1,99,-1,99,5,99,3,4,99,3,32,1,-6,-6,-6,-6,-6,-6,-6
5,50,0,-89,-89,-89,-89,40,85,-89,85,15,7,4,-1,99,5,5,1,99,99,99,38,1,-6,-6,-6,-6,-6,-6,-6
1,70,30,50,-89,60,40,85,85,-89,85,40,0,2,-1,5,5,4,1,5,6,4,40,22,50,75,75,50,60,50,50
2,0,85,60,50,50,70,0,60,-89,30,40,0,5,-1,1,4,7,3,7,5,6,36,14,-6,-6,-6,-6,-6,-6,-6
1,15,85,50,50,-89,60,15,15,-89,30,70,2,6,40,2,5,6,3,6,6,5,60,26,70,40,60,85,60,70,40
3,85,15,50,50,50,50,100,70,-89,70,15,2,2,55,4,3,2,1,4,3,2,45,27,85,70,50,85,50,30,50
3,70,30,-89,50,-89,-89,70,50,-89,70,60,1,3,45,5,3,5,1,5,5,1,30,14,60,70,50,85,50,70,85
5,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,99,-9,3,5,4,3,3,5,3,12,6,100,60,0,0,70,15,100
2,85,0,-88,50,-88,-88,100,85,-88,85,15,0,4,-8,5,4,4,1,4,2,1,-1,1,50,50,30,85,40,50,40
4,85,0,-89,-89,70,60,85,70,50,70,15,0,2,-1,5,4,4,1,5,2,2,45,19,85,70,70,85,40,60,50
3,40,70,-88,50,50,60,60,0,-88,30,70,1,99,53,99,6,1,1,5,5,2,40,14,50,50,30,60,50,60,50
2,70,0,50,60,70,50,100,70,-89,85,30,1,2,60,5,4,3,1,4,3,99,-1,-9,998,85,85,100,70,70,70
1,85,0,-89,-89,-89,-89,100,85,-89,85,40,1,99,-1,99,99,99,1,1,4,1,-1,7,50,50,85,85,85,50,70
5,50,50,-88,-89,-89,-89,70,60,-89,50,50,0,4,-1,5,5,3,3,1,1,1,58,17,50,50,50,60,50,50,50
3,30,40,50,-89,-89,-89,50,40,-89,30,50,4,4,-8,4,4,5,1,5,5,2,-1,27,60,50,50,60,50,70,50
3,70,0,-89,-89,-88,-88,0,50,-89,40,40,4,99,50,99,99,7,2,5,4,3,20,3,-6,-6,-6,-6,-6,-6,-6
4,85,0,50,-89,-89,60,100,70,-89,70,40,1,4,70,4,3,1,3,4,99,3,10,5,-6,-6,-6,-6,-6,-6,-6
2,85,0,40,50,70,0,100,70,60,85,30,2,2,-1,6,3,1,1,3,1,3,40,27,85,85,70,85,50,40,40
5,0,60,-89,-89,-89,-89,50,30,-89,40,40,2,5,-1,6,5,3,3,5,6,99,27,11,50,50,70,60,70,50,50
4,60,40,50,-89,70,30,85,40,-89,60,40,1,5,-1,3,2,5,1,5,7,1,42,3,85,50,40,85,30,85,50
2,60,15,50,50,50,40,85,70,-89,70,30,0,2,53,6,3,1,1,4,2,1,45,13,85,80,70,100,40,60,50
4,85,0,50,-89,-89,-89,100,100,-89,60,50,2,99,60,3,99,1,1,2,3,99,50,8,50,50,50,50,50,50,50
2,85,15,-89,50,60,40,100,100,-89,85,15,0,2,80,6,6,6,1,99,99,5,8,18,60,70,50,85,15,60,50
1,85,0,-89,-89,60,15,70,70,-89,70,15,1,-8,-1,5,6,2,3,4,5,2,40,20,70,40,70,85,60,30,70
2,60,15,50,50,50,50,85,60,50,70,40,2,2,-1,6,5,2,1,99,3,3,40,3,100,100,70,100,30,30,50
5,60,0,50,50,-89,30,85,60,-89,85,30,4,99,-1,5,5,2,1,99,99,3,-1,4,85,85,85,85,70,85,85
1,70,0,50,-89,70,-89,30,70,-89,50,85,4,4,90,99,1,2,3,6,7,2,40,12,70,70,60,85,70,85,70
2,0,8,40,50,50,70,15,0,50,30,60,3,4,-1,1,5,7,3,7,-9,99,40,23,30,30,50,50,15,85,50
3,75,20,49,50,60,0,70,51,-89,30,15,4,3,-1,3,4,2,1,3,2,2,45,15,85,60,60,100,30,85,50
3,40,40,40,50,50,50,30,40,50,50,50,5,4,40,3,5,2,3,6,6,1,60,9,40,50,50,50,40,50,50
4,85,0,-89,-89,-89,-89,95,95,-89,100,0,1,99,90,6,5,4,1,5,5,5,-1,4,30,0,70,998,40,999,30
1,15,70,60,50,30,85,15,15,50,30,60,1,6,-1,3,4,6,3,4,2,4,-1,15,-6,-6,-6,-6,-6,-6,-6
1,70,70,-89,-89,60,-89,75,70,-89,75,75,4,4,51,4,3,1,1,1,7,2,40,1,80,999,80,90,50,85,50
2,60,0,-89,-89,-89,30,70,85,-89,70,50,1,4,45,5,4,2,3,5,99,2,-1,11,40,60,70,70,30,60,40
1,60,15,-89,40,40,15,60,100,-89,85,0,0,99,87,1,1,1,1,1,1,1,-1,12,80,998,100,60,60,60,100
2,50,0,50,-89,-88,-88,60,60,-89,40,30,0,4,56,5,3,4,1,5,4,-9,45,26,60,60,60,70,60,30,60
4,50,10,75,-89,-88,-88,75,50,-89,75,10,0,3,-1,5,2,3,1,3,5,2,30,3,70,60,50,50,40,40,50
2,40,0,60,60,50,50,60,60,-89,60,30,1,2,55,5,5,2,1,4,3,3,10,12,60,70,30,70,30,50,50
2,0,60,50,60,40,60,0,0,50,15,15,4,4,46,3,4,5,1,4,5,4,50,25,40,60,70,85,40,60,70
2,15,85,50,50,50,85,15,15,-89,50,100,0,6,-1,6,7,7,1,5,5,4,-1,15,60,40,50,50,85,70,100
4,15,60,50,-88,60,60,15,15,-89,0,40,1,7,-1,2,6,7,3,7,7,4,-1,24,-6,-6,-6,-6,-6,-6,-6
2,15,85,50,-89,50,60,15,15,-89,30,60,1,6,42,3,4,5,2,6,6,5,-1,16,-6,-6,-6,-6,-6,-6,-6
4,85,0,-89,-89,85,-89,85,70,-89,85,0,2,2,-1,5,7,6,1,5,2,3,40,1,50,85,50,85,50,0,50
3,70,50,60,-89,60,-89,50,60,-89,70,60,7,4,65,99,4,5,1,5,5,4,40,-9,-6,-6,-6,-6,-6,-6,-6
1,90,0,50,50,-89,50,100,100,-89,95,10,5,2,60,6,4,1,1,3,99,1,40,24,50,100,50,50,50,40,85
4,0,40,50,30,-89,40,40,50,-89,40,40,1,5,-1,3,6,5,3,6,5,6,-1,15,40,40,60,50,30,50,50
3,60,30,50,-89,60,50,60,70,-89,50,60,1,5,55,3,4,4,1,5,4,3,50,22,50,60,30,70,40,60,50
4,0,100,-89,-89,0,100,0,0,-89,0,100,2,99,30,4,4,7,3,6,99,2,35,24,-6,-6,-6,-6,-6,-6,-6
4,70,40,-89,-89,-89,-89,70,50,-89,70,50,1,4,-1,1,4,4,1,4,1,1,50,6,-6,-6,-6,-6,-6,-6,-6
3,50,50,50,50,50,70,50,50,50,40,40,0,4,55,3,4,99,1,99,7,6,-1,14,40,55,60,60,50,50,40
4,15,70,85,-89,30,50,40,40,-89,30,70,4,5,-1,4,-8,6,3,4,6,99,-1,24,40,40,70,70,40,85,70
